	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1	arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C
tfRELA	0.000470618	-0	-0	-0	-0	-0	-0	-0	-0	0.000477122	-0	0.00044258	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.00076399	-0	-0	-0	-0	-0	-0	-0.009768	0.000421853	-0	-0	-0	-0	0.000247515	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfSP1	-0	-0	-0	0.000375301	-0	-0	-0	-0	0.000357756	-0	0.000423759	0.000358587	-0	-0	0.000343447	0.000386576	-0	-0	-0	-0	0.000505784	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00864	-0	-0	0.000324542	-0	-0	0.000283343	-0	0.000323532	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00151389	-0.00146474	-0	-0.0008248	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfSTAT3	0.000375286	0.0004224	0.000321569	-0	-0	-0	0.000442839	-0	-0	-0	-0	0.000352928	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000358595	-0	-0	-0	-0	-0	-0.00826157	-0	-0	-0	0.000197377	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0.000917779	-0	-0	-0	-0	-0	-0.00100253	-0.000710929	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfSTAT5A	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000461833	0.000390811	-0	-0	0.000374307	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.010463	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfTFAP2A	-0	-0	-0	0.000373967	-0	-0	-0	-0	-0	-0	0.000422248	0.000357313	0.000321531	-0	-0	0.000385201	-0	-0	-0	-0	-0	-0	-0	0.000404872	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0103565	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfTFAP2C	-0	-0	-0	-0	-0	-0	-0	-0	0.000349824	-0	0.00041436	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0101123	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.000976584	-0	-0	-0	-0	-0	-0	-0
tfTP53	-0	-0	0.000262506	0.000301533	-0	-0	-0	-0	0.000287437	0.000310592	-0	0.000288106	-0	-0	-0	-0	-0	-0	0.000289735	-0	-0	-0	0.000252195	0.000326453	0.000302635	-0	-0	0.000252579	-0	-0	-0	-0	0.000318185	-0	-0	-0	-0	-0	-0.00821376	0.00022765	0.000306732	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0.000678195	-0	-0.000672812	-0.000746974	-0.000597458	-0	-0	-0	-0	-0.000815954	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfUSF1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000436488	-0	0.000459215	0.000418058	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000416047	-0	-0	-0	-0	-0	-0.00984	-0	0.000393815	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfWT1	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000305315	-0	0.00028321	-0	0.000297956	0.000271251	-0	-0	-0	-0	-0	0.000399465	-0	0.00024791	0.000320907	0.000297494	-0	-0	-0	-0	-0	-0	-0	0.00031278	0.000269947	-0	-0	-0	-0	-0	-0	-0.0116243	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfYBX1	0.000358361	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000337011	-0	0.000354557	-0	-0	-0	-0	-0	-0	-0	-0	0.000295005	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0109227	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
